,Comment
54,"
    iade de patlayan alışveriş şeysi. bayadır memnun şekilde kullanırdım. özellikle kendi sattığı ürünlerde hiç sorun yaşamadım. telefonda aldım ıvır zıvır da. geçenlerde indirimde mont aldım çokta güzel hızlı da geldi ama beden olmadı. bana iade için ölümü gösterdiler ya gidip mng ye verecektim ve kargoyu uzay boşluğuna bırakacaktım yada hepsijet gelip evden alacaktı. tabi ki evden alsınlar dedim ve 10 kasım da gelip kargoyu benden aldılar faturası ile birlikte. 13 kasım da hepsijet sancaktepe aktarma merkezine gitti ürün. ondan sonra ses seda yok. aradan o kadar gün geçti hala ürün orada görünüyor. kaç kere aradım hatırlamıyorum. hepsijet ile görüştüm hepsiburada ile görüştüm en son dün beni arayacaklardı pakete ne olduğuna dair ancak hala yok. bugün aradım gün içinde size bilgi vereceğiz dediler. hele şimdi bu haftaki yoğunlukta kimsenin beni arayacağını sanmıyorum hele o kargodaki yoğunlukta kimsenin kargoyla ilgileneceğini de sanmıyorum ancak asıl çakallık şu ki; düne kadar kargo takibinde sistemden görüyordum ürün kaç gündür nerede bekliyor diye şimdi onu kapatmışlar bu da sanırım yaklaşmakta olan düzenbazlığın ayak sesleri. nisan ayında trendyolu silmiştim hayatın sırrını 9,90tl ye satsa almam diye artık hepsiburada da benim için o kategoride. amazon ve n11 yeter bana.
  "
55,"
    umarım bunu yazdım diye büyü bozulmaz. neredeyse hiç sıkıntı yaşamadığım alışveriş sitesi. 15 yıl boyunca aşağı yukarı 80 alışveriş yaptım ve bir iade dışında sorun yaşamadım. iade ettiğim ve parasını geri aldığım ürün bana bir kaç gün sonra kargoyla gelmişti. parasını vermek istiyorum diye aramıştım. sistemleri elverişli olmadığı için hediye etmişlerdi. satıcısı hepsiburada değildi nasıl hediye ettiler bilemiyorum artık. dükkana girdi galiba.n11'de ise sürekli problem yaşıyorum. ıvır zıvır ürünleri hep bu siteden aldığım için ya da içimdeki ölücüyü yalnızca bu site tatmin ettiği için elimde yüzümde patlıyor* tabi sonra sinirlenip 2 katı fiyata adam gibi ürün alıyorum. beni ucuz mal alacak kadar zengin olmadığıma ikna etmek için var bu site.
  "
56,"
    hala kendilerinden alışveriş edenleri görüp pek gülüp eğlendiğim, yaptığı alışveriş akabinde yaşadığı ve yaşaması muhtemel problemleri paylaşanlara ise ""amazon türkiye gibi bir nimet dururken hala buradan alışveriş ediyorsanız size müstehak"" dediğim e-ticaret mecrasıdır.
  "
57,"
    bugün benim için iyi bir şey yaptı. suistimal olmaması için paylaşmıyorum.yardımcı olmak adına sadece iletişim kanallarını kullanarak, amazon gibi mağduriyet giderdiğini söyleyebilirim. şaşırdım mı, hem de çok.
  "
58,"
#116110648 şurada belirtildiği gibi milleti enayi yerine koyan tuzaklarla dolu bir oluşum. 5999 tl’den başlayan iphone 12 yok. iphone x 64gb verip üstüne 5999 verirsen evet var. sahtekarlık diz boyu artık.
  "
59,"
    satın aldığım bir ürünün (maske) sağlıksız kargolanışını anlattığım, fotoğrafladığım, puanladığım ancak yorumumun onaylanmadığı site :))) madem onlar sitelerinde onaylamıyor, buradan yazalım gören vazgeçsin almaktan.daha da bunlardan alışveriş yapan beni öpsünler.
  "
60,"
    o kadar kötü ki bilhassa hepsi-jet sayesinde batması gerek. ayakta kalması mucize olan e-ticaret sitesi.
  "
61,"
    lütfen aras kargo'yu kullandırtmayın.bu firma açık bir şekilde kargoları ya çok geciktiriyor ya hiç teslim etmiyor.takibini bile yaptığınızı sanmıyorum. müşteri hizmetleri whatsapp hattı saçma. web sayfanızda trendyol gibi bir chatbox olmalı.
  "
62,"
    ürün şu saat aralığında indirimde diye gösterip daha sürenin bitmesine dört saat varken fiyat yükselten dolandırıcı bir sitedir.
  "
63,"
    6bin tl den baslayan iphone kampanyasi tam bir sahtekarlik ornegidir. bu tur konulardan anlamayan genel musteri kitlesi bu sayede ‘ay iphone 12 ne guzel 6bin’ diyip telefonunu satisa cikaracak. aciklamada da kenarda kosede yaziyor herhangi bir urunde bu kampanya kullainilir diye.ama kampanya tasarimi oyle bir sekilde yapilmis ki, sat eskiyi al iphone 12 olarak anlasiliyor.kanmayin.
  "
